ticker,company,industry,filing_date,plausible,p_m1,p_0,p_p1,p_p5,p_p15,avg_vol_before,avg_vol_after,vol_ratio,pct_1d,pct_5d,pct_15d,abs_1d,abs_5d,abs_15d,classification,flagged,vol_spike_2x
AUTL,Autolus Therapeutics plc,Biotech,2026-05-14,No,1.715,1.585,1.61,1.66,1.53,55418.3,82964.4,1.4970578310774598,-6.1224489795918355,-3.206997084548114,-10.787172011661811,6.1224489795918355,3.206997084548114,10.787172011661811,GRADUAL,False,False
EDIT,"Editas Medicine, Inc.",Biotech,2026-06-18,No,2.54,2.68,2.79,2.86,3.165,125044.5,146009.93333333332,1.1676637783615698,9.842519685039369,12.598425196850387,24.606299212598426,9.842519685039369,12.598425196850387,24.606299212598426,GRADUAL,False,False
EDIT,"Editas Medicine, Inc.",Biotech,2026-05-26,No,2.76,3.065,3.55,2.81,2.355,59513.7,182972.13333333333,3.074454005268255,28.623188405797105,1.8115942028985605,-14.673913043478255,28.623188405797105,1.8115942028985605,14.673913043478255,GRADUAL,True,True
EDIT,"Editas Medicine, Inc.",Biotech,2026-05-26,No,2.76,3.065,3.55,2.81,2.355,59513.7,182972.13333333333,3.074454005268255,28.623188405797105,1.8115942028985605,-14.673913043478255,28.623188405797105,1.8115942028985605,14.673913043478255,GRADUAL,True,True
CRBU,"Caribou Biosciences, Inc.",Biotech,2026-06-18,No,1.645,1.64,1.64,1.67,1.81,91225.1,138454.4,1.5177226443160927,-0.30395136778116205,1.5197568389057698,10.030395136778116,0.30395136778116205,1.5197568389057698,10.030395136778116,GRADUAL,False,False
CRBU,"Caribou Biosciences, Inc.",Biotech,2026-05-07,No,1.945,1.865,1.935,2.14,2.35,56168.8,100069.46666666666,1.781584557025727,-0.5141388174807203,10.02570694087404,20.822622107969153,0.5141388174807203,10.02570694087404,20.822622107969153,GRADUAL,False,False
FATE,FATE THERAPEUTICS INC,Biotech,2026-06-15,No,2.05,2.01,1.89,2.17,2.93,134685.6,193741.73333333334,1.438473996725213,-7.804878048780485,5.853658536585372,42.92682926829271,7.804878048780485,5.853658536585372,42.92682926829271,GRADUAL,False,False
FATE,FATE THERAPEUTICS INC,Biotech,2026-06-04,No,2.2,2.21,1.975,1.97,2.095,155866.4,147833.66666666666,0.948463983685173,-10.22727272727273,-10.454545454545464,-4.772727272727272,10.22727272727273,10.454545454545464,4.772727272727272,GRADUAL,False,False
FATE,FATE THERAPEUTICS INC,Biotech,2026-05-13,No,2.245,2.13,1.9,1.835,2.21,180204.9,143823.33333333334,0.7981100032980976,-15.367483296213816,-18.262806236080184,-1.5590200445434361,15.367483296213816,18.262806236080184,1.5590200445434361,FLAT/NONE,False,False
NMRA,"Neumora Therapeutics, Inc.",Biotech,2026-06-15,No,1.77,0.9177,1.55,1.59,1.6,39526.1,130794.93333333333,3.3090776305614096,-12.429378531073445,-10.169491525423725,-9.604519774011296,12.429378531073445,10.169491525423725,9.604519774011296,INSTANT,False,True
NMRA,"Neumora Therapeutics, Inc.",Biotech,2026-05-29,No,1.87,1.85,1.825,1.62,1.55,52481.5,138041.46666666667,2.630288133278711,-2.406417112299473,-13.36898395721925,-17.112299465240643,2.406417112299473,13.36898395721925,17.112299465240643,GRADUAL,True,True
NMRA,"Neumora Therapeutics, Inc.",Biotech,2026-05-07,No,2.32,1.94,1.815,1.965,1.85,62666.0,51096.066666666666,0.8153714401217034,-21.76724137931034,-15.301724137931025,-20.258620689655164,21.76724137931034,15.301724137931025,20.258620689655164,INSTANT,False,False
CHRS,"Coherus Oncology, Inc.",Biotech,2026-06-15,No,1.395,1.375,1.37,1.46,1.655,46221.4,50535.53333333333,1.0933362756933656,-1.7921146953404954,4.659498207885301,18.63799283154122,1.7921146953404954,4.659498207885301,18.63799283154122,GRADUAL,False,False
CHRS,"Coherus Oncology, Inc.",Biotech,2026-06-01,No,1.595,1.585,1.525,1.42,1.46,81879.8,41097.6,0.5019259939569954,-4.388714733542324,-10.971786833855802,-8.46394984326019,4.388714733542324,10.971786833855802,8.46394984326019,GRADUAL,False,False
CHRS,"Coherus Oncology, Inc.",Biotech,2026-05-11,No,1.76,1.94,1.71,1.49,1.525,49814.6,87361.93333333333,1.753741540298092,-2.8409090909090935,-15.340909090909092,-13.352272727272732,2.8409090909090935,15.340909090909092,13.352272727272732,GRADUAL,False,False
SGMT,Sagimet Biosciences Inc.,Biotech,2026-06-12,No,6.41,6.48,6.465,7.1,7.68,38259.3,70534.46666666666,1.8435900987907947,0.8580343213728504,10.76443057722308,19.81279251170046,0.8580343213728504,10.76443057722308,19.81279251170046,GRADUAL,False,False
SGMT,Sagimet Biosciences Inc.,Biotech,2026-06-03,No,6.79,6.845,7.04,6.51,6.865,43486.7,42921.333333333336,0.98699909014327,3.6818851251840945,-4.123711340206189,1.104565537555231,3.6818851251840945,4.123711340206189,1.104565537555231,FLAT/NONE,False,False
AQST,"Aquestive Therapeutics, Inc.",Biotech,2026-06-10,No,3.995,3.995,4.21,4.44,4.19,74998.4,124672.86666666667,1.6623403521497349,5.381727158948682,11.138923654568217,4.881101376720908,5.381727158948682,11.138923654568217,4.881101376720908,INSTANT,False,False
AQST,"Aquestive Therapeutics, Inc.",Biotech,2026-03-30,No,4.015,4.035,4.15,4.14,4.35,87549.0,62366.066666666666,0.7123561281872628,3.3623910336239273,3.1133250311332508,8.34371108343711,3.3623910336239273,3.1133250311332508,8.34371108343711,GRADUAL,False,False
AKBA,"Akebia Therapeutics, Inc.",Biotech,2026-06-22,No,1.065,1.1,1.1,1.11,1.405,151600.1,278141.0,1.8347019560013482,3.286384976525835,4.225352112676071,31.92488262910799,3.286384976525835,4.225352112676071,31.92488262910799,GRADUAL,False,False
AKBA,"Akebia Therapeutics, Inc.",Biotech,2026-05-07,No,1.485,1.185,1.17,1.14,1.025,93492.6,239527.4,2.5619931417031934,-21.21212121212122,-23.232323232323242,-30.976430976430986,21.21212121212122,23.232323232323242,30.976430976430986,INSTANT,False,True
ANVS,"Annovis Bio, Inc.",Biotech,2026-06-17,No,1.79,1.74,1.755,1.655,1.86,36299.4,41675.933333333334,1.1481163141355872,-1.9553072625698404,-7.5418994413407825,3.9106145251396685,1.9553072625698404,7.5418994413407825,3.9106145251396685,FLAT/NONE,False,False
ANVS,"Annovis Bio, Inc.",Biotech,2026-05-20,No,1.93,2.005,2.16,1.905,1.83,23834.2,52775.666666666664,2.214283116977564,11.917098445595865,-1.2953367875647623,-5.181347150259061,11.917098445595865,1.2953367875647623,5.181347150259061,GRADUAL,True,True
